,author,title,isbn,rating_dist,ratings_count,text_reviews_count,average_rating,original_publication_year,type
220,James Patterson and Brendan DuBois,"Cross Down (Alex Cross, #31)",9780316404693,5:14262|4:8129|3:2650|2:453|1:197|total:25691,25691,1286,4.39,2023,popular fiction
221,Quentin Tarantino,Once Upon a Time in Hollywood,9780063112520,5:6164|4:10149|3:5351|2:1427|1:381|total:23472,23472,3127,3.86,2021,popular fiction
222,Daniel Silva,The Order,9780062834904,5:14564|4:11284|3:4858|2:1196|1:557|total:32459,32459,2688,4.17,2020,popular fiction
223,Catherine Coulter,"Deadlock (FBI Thriller, #24)",9781501193729,5:4342|4:3155|3:1267|2:212|1:76|total:9052,9052,551,4.27,2020,popular fiction
224,James Patterson and James O. Born,The Russian (Michael Bennett #13),9780316430241,5:10161|4:7385|3:2539|2:313|1:134|total:20532,20532,1089,4.32,2021,popular fiction
225,David Baldacci,"A Gambling Man (Archer, #2)",9781538719664,5:18774|4:17901|3:7360|2:1418|1:523|total:45976,45976,2342,4.15,2021,popular fiction
226,Karin Slaughter,"We Are All Guilty Here (North Falls, #1)",9780063336803,5:59220|4:64491|3:20503|2:3463|1:905|total:148582,148582,14515,4.2,2025,popular fiction
227,Michael Connelly,"Nightshade (Catalina, #1)",9780316588492,5:20964|4:25507|3:12334|2:1780|1:471|total:61056,61056,3996,4.06,2025,popular fiction
228,David Baldacci,Mercy,9781538719695,5:26039|4:17274|3:5581|2:905|1:347|total:50146,50146,2661,4.35,2021,popular fiction
229,Louise Penny,"A World of Curiosities (Chief Inspector Armand Gamache, #18)",9781250145314,5:46595|4:25577|3:7190|2:1238|1:433|total:81033,81033,7424,4.44,2022,popular fiction
230,Janet Evanovich,"Fortune and Glory: Tantalizing Twenty-Seven (Stephanie Plum, #27)",9781982154868,5:17582|4:20097|3:10927|2:1431|1:306|total:50343,50343,3895,4.06,2020,popular fiction
231,Lee Child and Andrew Child,The Secret (Jack Reacher #28),9781984818591,5:23207|4:23202|3:11838|2:2344|1:678|total:61269,61269,3083,4.08,2023,popular fiction
232,Stacey Abrams,"While Justice Sleeps (Avery Keene, #1)",9780385546577,5:14107|4:18766|3:10291|2:2127|1:594|total:45885,45885,5308,3.95,2021,popular fiction
233,Jack Carr,Red Sky Mourning (Terminal List #7),9781668047071,5:12746|4:6059|3:1661|2:322|1:112|total:20900,20900,1036,4.48,2024,popular fiction
234,Paula Hawkins,A Slow Fire Burning,9780735211254,5:23879|4:66863|3:70030|2:17329|1:3425|total:181526,181526,14503,3.5,2021,popular fiction
235,David Baldacci,"Long Shadows (Amos Decker, #7)",9781538719794,5:32594|4:21662|3:5749|2:710|1:210|total:60925,60925,2781,4.41,2022,popular fiction
236,C.J. Box,"Battle Mountain (Joe Pickett, #25)",9780593851067,5:12312|4:7200|3:2100|2:332|1:85|total:22029,22029,1403,4.42,2025,popular fiction
237,John Sandford,"Dark Angel (Letty Davenport, #2)",9780593422427,5:11193|4:8978|3:3841|2:769|1:232|total:25013,25013,1417,4.2,2023,popular fiction
238,Louise Penny,The Black Wolf (Chief Inspector Armand Gamache #20),9781250328182,5:16204|4:13014|3:6312|2:1386|1:466|total:37382,37382,3652,4.15,2025,popular fiction
239,J.D. Robb,"Abandoned in Death (In Death, #54)",9781250278227,5:15572|4:8318|3:2949|2:501|1:187|total:27527,27527,1918,4.4,2022,popular fiction
240,TJ Klune,"Somewhere Beyond the Sea (Cerulean Chronicles, #2)",9781250881205,5:84347|4:79455|3:38468|2:8642|1:1907|total:212819,212819,29933,4.11,2024,popular fiction
241,Nora Roberts,Hideaway,9781250207128,5:19783|4:19583|3:9989|2:2139|1:746|total:52240,52240,3652,4.06,2020,popular fiction
242,James Patterson and Brendan DuBois,The Summer House,9780316539562,5:28670|4:19868|3:8611|2:1919|1:740|total:59808,59808,2683,4.23,2020,popular fiction
243,J.D. Robb,Forgotten In Death (In Death #53),9781250272829,5:16759|4:7883|3:2297|2:451|1:216|total:27606,27606,1797,4.47,2021,popular fiction
244,Brandon Sanderson,Rhythm of War (The Stormlight Archive #4),9781429952040,5:164916|4:67112|3:15297|2:2271|1:546|total:250142,250142,19521,4.57,2020,popular fiction
245,Daniel Silva,"The Cellist (Gabriel Allon, #21)",9780062834911,5:14794|4:11203|3:5373|2:1913|1:1823|total:35106,35106,3080,4.0,2021,popular fiction
246,Janet Evanovich,"Game On (Stephanie Plum, #28)",9781982154905,5:21884|4:21240|3:11365|2:1518|1:375|total:56382,56382,3833,4.11,2021,popular fiction
247,Richard Osman,"The Impossible Fortune (Thursday Murder Club, #5)",9780593653265,5:49145|4:52378|3:13699|2:1014|1:217|total:116453,116453,11094,4.28,2025,popular fiction
248,Lee Child and Andrew Child,In Too Deep (Jack Reacher #29),9780593725818,5:16833|4:17343|3:11017|2:2983|1:1026|total:49202,49202,2824,3.93,2024,popular fiction
249,Richard Osman,"The Last Devil to Die (Thursday Murder Club, #4)",9780593299432,5:133713|4:88769|3:17856|2:1491|1:430|total:242259,242259,21279,4.46,2023,popular fiction
250,Louise Penny,All the Devils Are Here (Chief Inspector Armand Gamache #16),9781250145253,5:46936|4:27771|3:7433|2:1277|1:390|total:83807,83807,8507,4.43,2020,popular fiction
251,James Patterson and Maxine Paetro,"The 20th Victim (Women's Murder Club, #20)",9780316494953,5:13801|4:14157|3:7518|2:1296|1:358|total:37130,37130,1950,4.07,2020,popular fiction
252,Ken Follett,"The Evening and the Morning (Kingsbridge, #0)",9781984882028,5:74947|4:44913|3:13300|2:2434|1:1115|total:136709,136709,9719,4.39,2020,popular fiction
253,Harlan Coben,Win,9781538748268,5:30025|4:31770|3:14074|2:3021|1:1125|total:80015,80015,5640,4.08,2021,popular fiction
254,David Baldacci,"Simply Lies (Mickey Gibson, #1)",9781538750599,5:19061|4:22949|3:12912|2:2924|1:945|total:58791,58791,3123,3.96,2023,popular fiction
255,J.D. Robb,"Encore in Death (In Death, #56)",9781250284310,5:14594|4:7848|3:2940|2:445|1:141|total:25968,25968,1718,4.4,2023,popular fiction
256,J.D. Robb,"Shadows in Death (In Death, #51)",9781250207241,5:16081|4:7719|3:2567|2:517|1:237|total:27121,27121,2067,4.43,2020,popular fiction
257,Rebecca Yarros,"Onyx Storm (The Empyrean, #3)",9781649374189,5:836174|4:573843|3:284371|2:64096|1:15887|total:1774371,1774371,208448,4.21,2025,popular fiction
258,Louise Penny,"The Grey Wolf (Chief Inspector Armand Gamache, #19)",9781250328144,5:26463|4:23742|3:12101|2:2764|1:626|total:65696,65696,6122,4.11,2024,popular fiction
259,Dahlia de la Cerda,Reservoir Bitches,218173295,5:8334|4:8267|3:2835|2:617|1:167|total:20220,20220,4161,4.19,2019,literary fiction
260,Saou Ichikawa,Hunchback,214986269,5:1850|4:6497|3:7086|2:2461|1:644|total:18538,18538,3793,3.35,2023,literary fiction
261,Vivian Probst,Breaking the Bias of English: How English Disempowers Women and How to Fix It in Only Six Words!,206355114,5:110|4:25|3:10|2:1|1:1|total:147,147,99,4.65,2024,literary fiction
262,Vincenzo Latronico,Perfection,220075119,5:8187|4:18268|3:12679|2:3356|1:687|total:43177,43177,7500,3.69,2022,literary fiction
263,Vincent Delecroix,Small Boat,228394781,5:4603|4:7155|3:3173|2:696|1:156|total:15783,15783,3027,3.97,2023,literary fiction
264,Banu Mushtaq,Heart Lamp: Selected Stories,205544315,5:2418|4:4141|3:2919|2:662|1:137|total:10277,10277,1910,3.78,2024,literary fiction
265,Solvej Balle,On the Calculation of Volume I,208511270,5:6633|4:14550|3:10171|2:2607|1:657|total:34618,34618,5597,3.69,2020,literary fiction
266,Ibtisam Azem,The Book of Disappearance,209141112,5:1116|4:1387|3:497|2:78|1:23|total:3101,3101,614,4.13,2014,literary fiction
267,Hiromi Kawakami,Under the Eye of the Big Bird,205673377,5:1553|4:3014|3:2145|2:581|1:105|total:7398,7398,1386,3.72,2016,literary fiction
268,Mircea Cărtărescu,Solenoid,27826456,5:3890|4:1879|3:934|2:351|1:150|total:7204,7204,1551,4.25,2015,literary fiction
269,Astrid H. Roemer,On a Woman's Madness,61244744,5:94|4:214|3:304|2:164|1:27|total:803,803,205,3.23,1982,literary fiction
270,Gaëlle Bélem,There's a Monster Behind the Door,218718725,5:70|4:213|3:173|2:35|1:10|total:501,501,98,3.59,2020,literary fiction
271,Christian Kracht,Eurotrash,220396538,5:1751|4:5045|3:4569|2:1499|1:302|total:13166,13166,1649,3.49,None,literary fiction
272,Selva Almada,Not a River,195790859,5:1983|4:3667|3:2102|2:403|1:63|total:8218,8218,1192,3.86,2020,literary fiction
273,Jenny Erpenbeck,Kairos,58877223,5:3790|4:8800|3:9881|2:4291|1:1276|total:28038,28038,4631,3.34,2021,literary fiction
274,Ia Genberg,The Details,63313297,5:6734|4:11749|3:6513|2:1435|1:245|total:26676,26676,3626,3.87,2022,literary fiction
275,Hwang Sok-yong,Mater 2-10,61921635,5:168|4:338|3:249|2:71|1:12|total:838,838,161,3.69,2020,literary fiction
276,Urszula Honek,White Nights,203425834,5:307|4:560|3:374|2:112|1:21|total:1374,1374,266,3.74,2022,literary fiction
277,Jente Posthuma,What I'd Rather Not Think About,61921644,5:1221|4:3001|3:2006|2:426|1:64|total:6718,6718,1009,3.73,2020,literary fiction
278,Itamar Vieira Junior,Crooked Plow,120855172,5:18627|4:9809|3:3267|2:529|1:121|total:32353,32353,3765,4.43,2019,literary fiction
279,Rodrigo Blanco Calderón,Simpatía,51658555,5:99|4:267|3:278|2:101|1:18|total:763,763,141,3.43,2020,literary fiction
280,Ismail Kadare,A Dictator Calls,123033172,5:92|4:269|3:484|2:215|1:69|total:1129,1129,211,3.09,None,literary fiction
281,Andrey Kurkov,The Silver Bone (Kyiv Mysteries #1),173956327,5:335|4:1097|3:1183|2:324|1:59|total:2998,2998,478,3.44,2018,literary fiction
282,Veronica Raimo,Lost on Me,65502618,5:3336|4:8311|3:7054|2:2114|1:397|total:21212,21212,2472,3.57,2022,literary fiction
283,Domenico Starnone,The House on Via Gemito,63283383,5:318|4:499|3:386|2:147|1:30|total:1380,1380,213,3.67,2000,literary fiction
284,Gabriela Wiener,Undiscovered,70240502,5:1546|4:2310|3:1446|2:411|1:110|total:5823,5823,933,3.82,2021,literary fiction
285,Georgi Gospodinov,Time Shelter,58999261,5:7994|4:11098|3:8185|2:2822|1:781|total:30880,30880,4689,3.74,2020,literary fiction
286,Eva Baltasar,Boulder,49236083,5:4837|4:7955|3:4161|2:987|1:228|total:18168,18168,3281,3.89,2020,literary fiction
287,Myeong-kwan Cheon,Whale,29382499,5:1567|4:1943|3:940|2:321|1:114|total:4885,4885,889,3.93,2004,literary fiction
288,Maryse Condé,The Gospel According to the New World,78819544,5:69|4:196|3:450|2:247|1:63|total:1025,1025,172,2.96,2021,literary fiction
289,Gauz,Standing Heavy,61411075,5:286|4:631|3:590|2:128|1:43|total:1678,1678,286,3.59,2014,literary fiction
290,Guadalupe Nettel,Still Born,95696897,5:10448|4:13285|3:4788|2:771|1:153|total:29445,29445,4468,4.12,2020,literary fiction
291,Vigdis Hjorth,Is Mother Dead,60059857,5:1933|4:3241|3:1849|2:419|1:106|total:7548,7548,900,3.86,2020,literary fiction
292,Andrey Kurkov,Jimi Hendrix Live in Lviv,123248566,5:109|4:327|3:286|2:69|1:16|total:807,807,132,3.55,2012,literary fiction
293,Laurent Mauvignier,The Birthday Party,61154622,5:661|4:988|3:614|2:246|1:74|total:2583,2583,443,3.74,2020,literary fiction
294,Clemens Meyer,While We Were Dreaming,61798404,5:529|4:558|3:289|2:104|1:36|total:1516,1516,185,3.95,2006,literary fiction
295,Perumal Murugan,Pyre,29861389,5:886|4:1453|3:755|2:150|1:32|total:3276,3276,606,3.92,2013,literary fiction
296,Amanda Svensson,A System So Magnificent It Is Blinding,60105494,5:434|4:1074|3:857|2:322|1:90|total:2777,2777,308,3.52,2019,literary fiction
297,Zou Jingzhi,Ninth Building,60799975,5:54|4:152|3:107|2:22|1:4|total:339,339,70,3.68,2010,literary fiction
298,Geetanjali Shree,Tomb of Sand,58703758,5:1059|4:1388|3:1011|2:418|1:198|total:4074,4074,853,3.66,2018,literary fiction
299,Bora Chung,Cursed Bunny,56648660,5:9026|4:18709|3:12500|2:3031|1:688|total:43954,43954,8455,3.74,2017,literary fiction
300,Mieko Kawakami,Heaven,53223710,5:20117|4:40188|3:26136|2:5527|1:1083|total:93051,93051,15246,3.78,2009,literary fiction
301,Claudia Piñeiro,Elena Knows,56802275,5:10164|4:13301|3:5559|2:1128|1:231|total:30383,30383,5284,4.05,2007,literary fiction
302,Sang Young Park,Love in the Big City,57500766,5:3134|4:7487|3:5800|2:1335|1:202|total:17958,17958,2988,3.67,2019,literary fiction
303,Jon Fosse,A New Name: Septology VI-VII,58382687,5:1696|4:778|3:204|2:41|1:20|total:2739,2739,405,4.49,2021,literary fiction
304,Olga Tokarczuk,The Books of Jacob,58276619,5:4278|4:3817|3:1901|2:636|1:268|total:10900,10900,1826,4.03,2014,literary fiction
305,Jonas Eika,After the Sun,56355657,5:325|4:801|3:901|2:564|1:223|total:2814,2814,409,3.16,2018,literary fiction
306,David Grossman,More Than I Love My Life,55894188,5:1891|4:2155|3:1022|2:235|1:74|total:5377,5377,648,4.03,2019,literary fiction
307,Violaine Huisman,The Book of Mother,56898088,5:620|4:1111|3:710|2:163|1:42|total:2646,2646,472,3.8,2018,literary fiction
308,Fernanda Melchor,Paradais,58730652,5:3423|4:8434|3:6346|2:1709|1:517|total:20429,20429,3541,3.61,2021,literary fiction
309,Norman Erikson Pasaribu,"Happy Stories, Mostly",59602522,5:364|4:983|3:653|2:157|1:23|total:2180,2180,481,3.69,2020,literary fiction
310,Paulo Scott,Phenotypes,57443695,5:258|4:523|3:347|2:87|1:9|total:1224,1224,174,3.76,2019,literary fiction
311,David Diop,At Night All Blood is Black,50403480,5:6734|4:12772|3:7561|2:1918|1:470|total:29455,29455,4243,3.79,2018,literary fiction
312,Mariana Enriquez,The Dangers of Smoking in Bed,53215250,5:14951|4:28805|3:17698|2:4099|1:872|total:66425,66425,10945,3.8,2009,literary fiction
313,Benjamín Labatut,When We Cease to Understand the World,62069739,5:25537|4:26250|3:11516|2:2763|1:737|total:66803,66803,9283,4.09,2020,literary fiction
314,Olga Ravn,The Employees,53780642,5:5801|4:12249|3:9353|2:2877|1:661|total:30941,30941,5462,3.64,2018,literary fiction
315,Maria Stepanova,In Memory of Memory,53492649,5:717|4:841|3:540|2:185|1:54|total:2337,2337,429,3.85,2017,literary fiction
316,Éric Vuillard,The War of the Poor,54765614,5:463|4:987|3:1170|2:464|1:102|total:3186,3186,509,3.39,2019,literary fiction
317,Can Xue,I Live in the Slums: Stories,51871688,5:30|4:60|3:63|2:36|1:17|total:206,206,51,3.24,2020,literary fiction
318,Nana Ekvtimishvili,The Pear Field,49007411,5:433|4:886|3:732|2:144|1:26|total:2221,2221,328,3.7,2015,literary fiction
319,Ngũgĩ wa Thiong'o,The Perfect Nine: The Epic of Gĩkũyũ and Mũmbi,54815570,5:250|4:598|3:486|2:79|1:18|total:1431,1431,245,3.69,2018,literary fiction
320,Jaap Robben,Summer Brother,51797918,5:573|4:1878|3:1040|2:216|1:47|total:3754,3754,490,3.72,2018,literary fiction
321,Judith Schalansky,An Inventory of Losses,52175029,5:260|4:607|3:764|2:281|1:76|total:1988,1988,345,3.35,2018,literary fiction
322,Adania Shibli,Minor Detail,52045757,5:17464|4:20115|3:6185|2:1309|1:335|total:45408,45408,7869,4.17,2017,literary fiction
323,Andrzej Tichý,Wretchedness,49007455,5:72|4:175|3:165|2:60|1:19|total:491,491,88,3.45,2016,literary fiction
324,Lucas Rijneveld,The Discomfort of Evening,49374086,5:6790|4:13263|3:11619|2:5249|1:2229|total:39150,39150,6164,3.44,2018,literary fiction
325,Shokoofeh Azar,The Enlightenment of the Greengage Tree,35708940,5:1339|4:1980|3:1271|2:390|1:154|total:5134,5134,910,3.77,2017,literary fiction
326,Gabriela Cabezón Cámara,The Adventures of China Iron,227945775,5:1681|4:2511|3:1705|2:429|1:111|total:6437,6437,968,3.81,2017,literary fiction
327,Daniel Kehlmann,Tyll,36130507,5:5090|4:6392|3:3420|2:859|1:240|total:16001,16001,1766,3.95,2017,literary fiction
328,Fernanda Melchor,Hurricane Season,46041168,5:19219|4:20049|3:8666|2:2706|1:1186|total:51826,51826,10229,4.03,2017,literary fiction
329,Yōko Ogawa,The Memory Police,37004370,5:28654|4:60473|3:44535|2:11762|1:2143|total:147567,147567,23199,3.69,1994,literary fiction
330,Willem Anker,Red Dog,46157305,5:47|4:73|3:67|2:38|1:14|total:239,239,53,3.42,2014,literary fiction
331,Jon Fosse,The Other Name: Septology I-II,46024004,5:2647|4:2562|3:1123|2:373|1:155|total:6860,6860,1092,4.05,2019,literary fiction
332,Nino Haratischwili,The Eighth Life,41071389,5:22548|4:9186|3:2347|2:546|1:165|total:34792,34792,4334,4.54,2014,literary fiction
333,Michel Houellebecq,Serotonin,42594530,5:5925|4:12656|3:9724|2:3305|1:1154|total:32764,32764,3324,3.58,2019,literary fiction
334,Emmanuelle Pagano,Faces on the Tip of My Tongue,41945016,5:46|4:115|3:95|2:22|1:3|total:281,281,66,3.64,2012,literary fiction
335,Samanta Schweblin,Little Eyes,48635845,5:4196|4:9647|3:8483|2:2398|1:499|total:25223,25223,4184,3.58,2018,literary fiction
336,Enrique Vila-Matas,Mac and His Problem,52411074,5:134|4:256|3:281|2:89|1:30|total:790,790,132,3.47,2017,literary fiction
